0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
10240,  0, tcp
10240,  0, tcp
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 100.000000
 102400, 100.000000
10240,  0, tcp
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 102400, 100.000000
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 89.999998
 10240, 80.000001
 10240, 80.000001
 1024, 419430300.000000
 1024, 419430300.000000
 1024, 0.000000
 1024, 419430300.000000
 1024, 419430300.000000
 1024, 419430300.000000
 1024, 419430300.000000
 102400, 99.000001
 102400, 98.000002
 102400, 98.000002
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
0,  0, tcp
10240,  0, tcp
102400,  0, tcp
1024000,  0, tcp
10240,  0, tcp
1024000,  0, tcp
1024000,  0, tcp
102400,  0, tcp
1024,  0, tcp
10240,  0, tcp
10240,  0, tcp
40960,  0, tcp
40960,  0, tcp
10240,  0, tcp
40960,  0, tcp
10240,  0, tcp
4096,  0, tcp
10240,  0, tcp
40960,  0, tcp
4096,  0, tcp
20480,  0, tcp
65000,  0, tcp
10240,  0, tcp
40960,  0, tcp
40960,  0, tcp
204800,  0, tcp
650000,  0, tcp
65000000,  0, tcp
65000000,  0, tcp
65000000,  0, tcp
65000000,  0, tcp
4096000,  0, tcp
4096000,  0, tcp
4096000,  0, tcp
65000000,  0, tcp
65000000,  0, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
204800,  204800, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10234, tcp
10240,  10234, tcp
10240,  10234, tcp
10240,  10240, tcp
1024000,  1024000, tcp
1024000,  1024000, tcp
1024000,  1024000, tcp
1024000,  1024000, tcp
1024000,  1024000, tcp
1024000,  1024000, tcp
1024000,  1024000, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
40960,  40960, tcp
40960,  40960, tcp
40960,  40960, tcp
40960,  40960, tcp
40960,  40960, tcp
40960,  40960, tcp
10240,  10240, tcp
10240,  10234, tcp
10240,  10234, tcp
10240,  10234, tcp
10240,  10234, tcp
1024,  1024, tcp
1024,  1018, tcp
1024,  1018, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10234, tcp
10240,  10240, tcp
10240,  10234, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10234, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10234, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
102400,  102400, tcp
102400,  102394, tcp
102400,  102400, tcp
10240,  -1, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  10240, tcp
10240,  -1, tcp
102400,  -1, tcp
102400,  -1, tcp
10240,  -1, tcp
10240,  -1, tcp
10240,  -1, tcp
1024,  1023, tcp
1024,  1023, tcp
10240,  1023, tcp
10240,  1023, tcp
10240,  -1, tcp
1024,  -1024005, tcp
1024,  1023, tcp
1024,  1023, tcp
102400,  -4, tcp
102400,  -4, tcp
2048000,  -4, tcp
6500000,  -4, tcp
6500000,  -4, tcp
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
 0, -1.#IND00
